epoch,phase,train_loss,val_mAP50,val_mAP50-95,val_precision,val_recall,lr,elapsed_s
0,frozen,,0.05596,0.02414,0.09611,0.17171,0.00044618950632491314,1247.4
1,frozen,,0.17393,0.07806,0.25523,0.23964,0.0004356942429338488,2430.8
2,frozen,,0.22734,0.10224,0.3265,0.28787,0.00040430018638372325,3619.5
3,frozen,,0.26945,0.11812,0.3631,0.31082,0.0003554027969267121,4808.9
4,frozen,,0.29037,0.1273,0.37121,0.33568,0.0002937884917310129,5996.1
5,frozen,,0.31036,0.1352,0.38576,0.34856,0.0002254885082812879,7184.0
6,frozen,,0.30773,0.1343,0.40425,0.34667,0.00015718852483156284,8373.6
7,frozen,,0.32678,0.14509,0.4098,0.35817,9.557421963586367e-05,9561.8
8,frozen,,0.33232,0.147,0.41496,0.36575,4.667683017885243e-05,10749.1
9,frozen,,0.33392,0.1495,0.415,0.36907,1.5282773628726842e-05,11936.3
