epoch,phase,train_loss,val_mAP50,val_mAP50-95,val_precision,val_recall,lr,elapsed_s
0,frozen,,0.0564,0.02347,0.09787,0.1721,0.00044617843089695005,577.0
1,frozen,,0.1803,0.08215,0.25128,0.24628,0.0004356942429338488,1122.3
2,frozen,,0.24873,0.10585,0.32487,0.32341,0.00040430018638372325,1668.3
3,frozen,,0.29296,0.13388,0.35791,0.34791,0.0003554027969267121,2214.1
4,frozen,,0.30118,0.13338,0.37889,0.35778,0.0002937884917310129,2758.2
5,frozen,,0.32293,0.14525,0.41285,0.34969,0.0002254885082812879,3303.3
6,frozen,,0.34397,0.1567,0.42695,0.37689,0.00015718852483156284,3847.8
7,frozen,,0.35555,0.16017,0.4248,0.39047,9.557421963586367e-05,4392.4
8,frozen,,0.36334,0.16421,0.44245,0.39271,4.667683017885243e-05,4935.4
9,frozen,,0.36775,0.16757,0.44287,0.39212,1.5282773628726842e-05,5479.9
10,frozen,,0.36936819619859634,0.16825361862517166,0.4385662206180066,0.39732773720738057,1.5282773628726842e-05,5509.7
0,full,,0.36627,0.17406,0.42874,0.39905,4.4617843089695005e-05,6411.0
1,full,,0.41865,0.19829,0.47458,0.45175,4.356942429338488e-05,7260.5
2,full,,0.46619,0.2226,0.51139,0.46824,4.043001863837233e-05,8106.8
3,full,,0.48075,0.23238,0.5055,0.49784,3.554027969267121e-05,8954.5
4,full,,0.49201,0.23559,0.54181,0.48798,2.937884917310129e-05,9803.4
5,full,,0.49591,0.23861,0.53011,0.4951,2.254885082812879e-05,10650.8
6,full,,0.50352,0.24223,0.539,0.50001,1.5718852483156285e-05,11499.5
7,full,,0.5097,0.24451,0.65632,0.50546,9.557421963586368e-06,12349.3
8,full,,0.51253,0.24364,0.6463,0.50308,4.667683017885243e-06,13195.6
9,full,,0.51489,0.24668,0.55247,0.50964,1.5282773628726846e-06,14044.3
10,full,,0.515181234358107,0.24635599269211006,0.6558513620670353,0.5107468497428741,1.5282773628726846e-06,14073.1
