epoch,phase,train_loss,val_mAP50,val_mAP50-95,val_precision,val_recall,lr,elapsed_s
0,frozen,,0.04831,0.02033,0.084,0.18873,0.00044620160439867056,615.3
1,frozen,,0.14536,0.06416,0.21986,0.24545,0.0004356942429338488,1196.3
2,frozen,,0.22407,0.10142,0.30637,0.27614,0.00040430018638372325,1776.5
3,frozen,,0.26423,0.12041,0.35996,0.30072,0.0003554027969267121,2355.6
4,frozen,,0.2757,0.12524,0.32975,0.33057,0.0002937884917310129,2936.2
5,frozen,,0.29715,0.1353,0.36459,0.34745,0.0002254885082812879,3515.7
6,frozen,,0.30391,0.1353,0.36877,0.34951,0.00015718852483156284,4094.9
7,frozen,,0.32889,0.15415,0.38864,0.37162,9.557421963586367e-05,4673.8
8,frozen,,0.33369,0.15445,0.41395,0.36104,4.667683017885243e-05,5254.9
9,frozen,,0.33396,0.1542,0.41435,0.35974,1.5282773628726842e-05,5833.2
10,frozen,,0.3335718369193968,0.15359747192602463,0.4220677383874197,0.3581485645119603,1.5282773628726842e-05,5862.7
0,full,,0.34701,0.15985,0.41493,0.38589,4.462016043986706e-05,6818.1
1,full,,0.4041,0.1895,0.47403,0.42763,4.356942429338488e-05,7721.8
2,full,,0.41879,0.19505,0.58619,0.43411,4.043001863837233e-05,8625.1
3,full,,0.43465,0.20741,0.587,0.44501,3.554027969267121e-05,9533.1
4,full,,0.44541,0.20908,0.51264,0.4449,2.937884917310129e-05,10441.9
5,full,,0.45485,0.21389,0.60781,0.45495,2.254885082812879e-05,11351.8
6,full,,0.4588,0.21575,0.6021,0.46969,1.5718852483156285e-05,12260.9
7,full,,0.4623,0.21738,0.62455,0.46785,9.557421963586368e-06,13169.9
8,full,,0.46374,0.21736,0.63069,0.45789,4.667683017885243e-06,14076.5
9,full,,0.46478,0.21797,0.63628,0.46477,1.5282773628726846e-06,14985.2
10,full,,0.4661512564757718,0.21827116109576988,0.633991300558699,0.46778901367507686,1.5282773628726846e-06,15013.7
