epoch,phase,train_loss,val_mAP50,val_mAP50-95,val_precision,val_recall,lr,elapsed_s
0,frozen,,0.05704,0.02529,0.11607,0.12302,0.0004462371210343476,689.3
1,frozen,,0.1722,0.07725,0.25752,0.27723,0.0004356942429338488,1344.6
2,frozen,,0.23577,0.1083,0.30584,0.29198,0.00040430018638372325,2000.3
3,frozen,,0.26566,0.12049,0.37048,0.30378,0.0003554027969267121,2656.8
4,frozen,,0.29167,0.13291,0.36844,0.3411,0.0002937884917310129,3312.8
5,frozen,,0.30683,0.13676,0.39391,0.33827,0.0002254885082812879,3967.5
6,frozen,,0.3242,0.14767,0.40787,0.35888,0.00015718852483156284,4622.2
7,frozen,,0.32723,0.14913,0.42747,0.35038,9.557421963586367e-05,5276.7
8,frozen,,0.33589,0.15316,0.42633,0.36627,4.667683017885243e-05,5931.8
9,frozen,,0.33757,0.15275,0.43679,0.37097,1.5282773628726842e-05,6585.2
10,frozen,,0.3370025787370111,0.15349686631594758,0.42775594967101827,0.367948223065671,1.5282773628726842e-05,6617.3
0,full,,0.33396,0.14816,0.42174,0.36304,4.4623712103434755e-05,7695.6
1,full,,0.41805,0.18595,0.48146,0.45495,4.356942429338488e-05,8717.5
2,full,,0.46733,0.21549,0.45352,0.49892,4.043001863837233e-05,9738.2
3,full,,0.43865,0.20114,0.53216,0.4659,3.554027969267121e-05,10756.3
4,full,,0.49733,0.22486,0.54237,0.4867,2.937884917310129e-05,11776.2
5,full,,0.45592,0.21118,0.48418,0.45951,2.254885082812879e-05,12794.0
6,full,,0.48757,0.22691,0.56086,0.55047,1.5718852483156285e-05,13813.1
7,full,,0.47874,0.2167,0.55076,0.50649,9.557421963586368e-06,14828.7
8,full,,0.47976,0.22431,0.44856,0.53068,4.667683017885243e-06,15846.4
9,full,,0.49301,0.22958,0.51507,0.54298,1.5282773628726846e-06,16865.0
10,full,,0.49246450414662385,0.22892630929536004,0.5437649874172467,0.5117058649819893,1.5282773628726846e-06,16896.3
